time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
3.4467,2.20273,-3.84959,49.7203,1.29495,-2.23338,28.8485,0.402363,-0.64426,8.39215
3.51552,2.29294,-4.00478,51.7257,1.32644,-2.27623,29.4241,0.457449,-0.622705,8.36341
3.57934,2.37839,-4.15126,53.6206,1.35135,-2.31414,29.96,0.390388,-0.593965,8.39694
3.64825,2.47244,-4.31227,55.7052,1.37842,-2.35936,30.5446,0.392783,-0.656235,8.48316
3.71702,2.5681,-4.47609,57.8253,1.40378,-2.40465,31.1115,0.368833,-0.65863,8.24366
3.78549,2.6651,-4.64233,59.9754,1.4292,-2.4509,31.6889,0.371228,-0.675396,8.43286
3.83909,2.74229,-4.77463,61.6856,1.45141,-2.4862,32.1355,0.414338,-0.65863,8.33227
3.91832,2.85845,-4.97365,64.2581,1.48101,-2.53781,32.8006,0.373623,-0.651445,8.39454
3.98687,2.96093,-5.14912,66.5264,1.50859,-2.58132,33.3741,0.402363,-0.63468,8.3658
4.05561,3.06565,-5.32808,68.8404,1.53822,-2.62577,33.9541,0.431104,-0.646655,8.43765
4.12454,3.17256,-5.51057,71.2008,1.56381,-2.66919,34.5332,0.371228,-0.62989,8.40173
4.18832,3.27312,-5.68218,73.4205,1.58948,-2.71166,35.0671,0.402363,-0.665815,8.37059
4.25709,3.38332,-5.8701,75.8516,1.6155,-2.75382,35.6398,0.378413,-0.613125,8.32748
4.32585,3.49525,-6.06098,78.322,1.6402,-2.79829,36.2166,0.359253,-0.646655,8.38975
4.39457,3.60885,-6.25484,80.8308,1.66588,-2.84355,36.7952,0.373623,-0.65863,8.41849
4.45825,3.71565,-6.4372,83.1908,1.6883,-2.88381,37.3258,0.352068,-0.632285,8.33227
4.52708,3.83273,-6.63722,85.7799,1.71369,-2.92799,37.9031,0.368833,-0.641865,8.38736
4.59568,3.95128,-6.83968,88.3998,1.7426,-2.97482,38.4806,0.421523,-0.682581,8.41849
4.66469,4.07249,-7.04644,91.0748,1.77053,-3.01795,39.0526,0.404758,-0.6251,8.28916
4.72859,4.18644,-7.24071,93.5876,1.79579,-3.06173,39.5887,0.395178,-0.684976,8.38975
