time,X,Y,Z,vX,vY,vZ,aX,aY,aZ
17.9717,61.3328,-105.14,1351.81,6.85085,-11.7368,150.446,0.354463,-0.646655,8.32509
18.0403,61.8034,-105.947,1362.15,6.874,-11.7845,151.024,0.337698,-0.694556,8.42807
18.1093,62.2785,-106.762,1372.59,6.89862,-11.8302,151.605,0.356858,-0.66342,8.40891
18.178,62.7534,-107.576,1383.02,6.92183,-11.8716,152.179,0.337698,-0.60115,8.35383
18.242,63.1968,-108.337,1392.77,6.94618,-11.9144,152.716,0.380808,-0.670605,8.39694
18.3106,63.6745,-109.156,1403.28,6.97019,-11.9587,153.293,0.349673,-0.64426,8.40412
18.3793,64.154,-109.979,1413.82,6.99732,-12.0042,153.873,0.395178,-0.66342,8.44963
18.4478,64.6347,-110.803,1424.39,7.02081,-12.0489,154.448,0.342488,-0.651445,8.39215
18.5118,65.0847,-111.576,1434.29,7.04732,-12.0926,154.982,0.414338,-0.682581,8.34185
18.5804,65.5689,-112.406,1444.94,7.07409,-12.1356,155.557,0.390388,-0.627495,8.38736
18.6492,66.0566,-113.243,1455.67,7.09947,-12.1814,156.135,0.368833,-0.665815,8.39215
18.7179,66.5453,-114.082,1466.42,7.12531,-12.2316,156.708,0.376018,-0.730481,8.34664
18.7817,67.0008,-114.864,1476.43,7.14976,-12.2753,157.247,0.383203,-0.684976,8.44244
18.8505,67.4935,-115.71,1487.27,7.17546,-12.3244,157.821,0.373623,-0.713716,8.34664
18.9193,67.9878,-116.559,1498.14,7.20214,-12.3653,158.398,0.387993,-0.593965,8.38496
18.9881,68.484,-117.411,1509.06,7.22685,-12.4109,158.978,0.359253,-0.66342,8.43765
19.0416,68.871,-118.075,1517.57,7.24683,-12.4451,159.419,0.373623,-0.63947,8.24605
19.1207,69.4455,-119.062,1530.2,7.27828,-12.4936,160.077,0.397573,-0.613125,8.31551
19.1893,69.9457,-119.921,1541.21,7.30293,-12.5409,160.649,0.359253,-0.689766,8.34185
19.2582,70.4505,-120.787,1552.3,7.33662,-12.5855,161.228,0.488584,-0.646655,8.39454
19.327,70.9555,-121.654,1563.41,7.35802,-12.6288,161.805,0.311353,-0.62989,8.39933
19.3909,71.4268,-122.462,1573.77,7.38344,-12.6723,162.347,0.397573,-0.680186,8.464
19.4593,71.933,-123.331,1584.9,7.40983,-12.7147,162.92,0.385598,-0.62031,8.38257
19.5284,72.4453,-124.21,1596.17,7.43529,-12.7574,163.5,0.368833,-0.617915,8.40652
19.597,72.9565,-125.087,1607.41,7.45945,-12.8003,164.078,0.352068,-0.6251,8.41131
19.6609,73.4338,-125.906,1617.91,7.48378,-12.8427,164.611,0.380808,-0.66342,8.34904
19.7295,73.9481,-126.789,1629.22,7.51155,-12.8903,165.187,0.404758,-0.694556,8.40173
19.7986,74.4684,-127.682,1640.66,7.53788,-12.9372,165.757,0.380808,-0.677791,8.23168
19.8671,74.9852,-128.569,1652.02,7.56656,-12.9813,166.333,0.419128,-0.64426,8.41849
19.9309,75.4688,-129.398,1662.65,7.59055,-13.0267,166.87,0.376018,-0.711321,8.4137
19.9996,75.9913,-130.295,1674.14,7.61541,-13.0711,167.45,0.361648,-0.646655,8.44005
20.0683,76.5152,-131.195,1685.67,7.63154,-13.122,168.026,0.234712,-0.740061,8.38975
20.137,77.0406,-132.099,1697.24,7.65656,-13.1664,168.597,0.364043,-0.646655,8.30593
20.1906,77.451,-132.804,1706.27,7.67848,-13.2038,169.046,0.409548,-0.699346,8.38257
20.2696,78.0589,-133.849,1719.65,7.70989,-13.2487,169.714,0.397573,-0.56762,8.45442
20.3385,78.5913,-134.764,1731.38,7.73449,-13.2925,170.296,0.356858,-0.63468,8.44723
20.4073,79.1243,-135.681,1743.11,7.75987,-13.3432,170.871,0.368833,-0.737666,8.35143
20.476,79.6581,-136.598,1754.87,7.78421,-13.3838,171.44,0.354463,-0.59157,8.28437
20.5399,80.1564,-137.455,1765.84,7.80718,-13.4278,171.974,0.359253,-0.687371,8.36341
20.6087,80.694,-138.38,1777.68,7.83402,-13.4678,172.551,0.390388,-0.58199,8.39215
20.6773,81.2328,-139.306,1789.55,7.85967,-13.5127,173.129,0.373623,-0.65384,8.41849
20.746,81.7732,-140.235,1801.46,7.88055,-13.5604,173.702,0.304167,-0.694556,8.34425
20.8097,82.2761,-141.101,1812.55,7.90467,-13.6028,174.235,0.378413,-0.665815,8.35622
20.8786,82.8217,-142.04,1824.57,7.93255,-13.648,174.81,0.404758,-0.656235,8.35862
20.9475,83.369,-142.981,1836.63,7.95878,-13.6883,175.389,0.380808,-0.584385,8.39215
21.0159,83.9143,-143.919,1848.65,7.985,-13.7364,175.962,0.383203,-0.704136,8.38736
21.0799,84.4263,-144.8,1859.93,8.00815,-13.7769,176.5,0.361648,-0.632285,8.39933
21.1488,84.9789,-145.751,1872.11,8.03142,-13.8266,177.074,0.337698,-0.720901,8.32748
21.2173,85.5295,-146.699,1884.25,8.05863,-13.8736,177.649,0.397573,-0.687371,8.39694
21.2861,86.0854,-147.656,1896.5,8.08502,-13.9147,178.22,0.383203,-0.59636,8.30114
21.3499,86.6015,-148.544,1907.88,8.10701,-13.9559,178.75,0.344883,-0.646655,8.31551
21.4185,87.1588,-149.504,1920.18,8.12559,-13.999,179.325,0.270637,-0.627495,8.36341
21.4875,87.7202,-150.471,1932.57,8.15087,-14.0463,179.894,0.366438,-0.684976,8.25324
21.5563,88.2812,-151.438,1944.95,8.1749,-14.0902,180.467,0.349673,-0.63947,8.33467
21.6199,88.8026,-152.337,1956.46,8.19976,-14.1341,181.001,0.390388,-0.689766,8.38736
21.6888,89.3682,-153.312,1968.95,8.22269,-14.1797,181.58,0.332908,-0.661025,8.40652
21.7574,89.9332,-154.286,1981.42,8.24881,-14.2271,182.159,0.380808,-0.692161,8.44723
21.8263,90.5025,-155.268,1993.99,8.28033,-14.276,182.735,0.457449,-0.708926,8.34904
21.8949,91.0714,-156.249,2006.55,8.30629,-14.319,183.314,0.378413,-0.627495,8.44005
21.9588,91.6027,-157.165,2018.27,8.32725,-14.3632,183.848,0.328118,-0.692161,8.37299
22.0277,92.1777,-158.157,2030.97,8.35202,-14.4082,184.426,0.359253,-0.651445,8.37299
22.0963,92.7518,-159.147,2043.64,8.38291,-14.4542,184.994,0.450264,-0.670605,8.28198
22.165,93.328,-160.14,2056.36,8.40642,-14.4999,185.576,0.342488,-0.665815,8.48316
22.2289,93.866,-161.068,2068.24,8.43121,-14.5418,186.115,0.387993,-0.656235,8.43286
22.2977,94.4469,-162.07,2081.06,8.45658,-14.5865,186.69,0.368833,-0.64905,8.35862
22.3662,95.0272,-163.071,2093.87,8.48235,-14.6316,187.265,0.376018,-0.65863,8.38975
22.435,95.6114,-164.079,2106.77,8.50804,-14.6792,187.835,0.373623,-0.692161,8.28437
22.4989,96.1565,-165.02,2118.8,8.53333,-14.7187,188.373,0.395178,-0.617915,8.41849
22.5676,96.7437,-166.032,2131.77,8.55965,-14.7656,188.953,0.383203,-0.682581,8.43526
22.6365,97.3334,-167.05,2144.79,8.5819,-14.8086,189.533,0.323328,-0.6251,8.43526
22.705,97.9228,-168.067,2157.81,8.60276,-14.8531,190.108,0.304167,-0.64905,8.38257
22.769,98.474,-169.019,2169.99,8.6259,-14.8928,190.644,0.361648,-0.62031,8.37059
22.8377,99.0669,-170.042,2183.09,8.65499,-14.9412,191.221,0.423918,-0.704136,8.4137
22.9065,99.6638,-171.073,2196.28,8.67957,-14.9852,191.795,0.356858,-0.63947,8.33706
22.9753,100.261,-172.105,2209.48,8.70427,-15.0328,192.369,0.359253,-0.692161,8.34425
23.0391,100.818,-173.066,2221.79,8.73043,-15.0755,192.907,0.409548,-0.668211,8.43047
23.1077,101.418,-174.101,2235.03,8.75801,-15.1188,193.483,0.402363,-0.632285,8.40173
23.1767,102.023,-175.146,2248.4,8.78313,-15.1636,194.064,0.364043,-0.64905,8.41131
23.2453,102.627,-176.189,2261.74,8.80598,-15.2111,194.63,0.332908,-0.692161,8.25084
23.3141,103.233,-177.236,2275.15,8.83168,-15.2538,195.204,0.373623,-0.62031,8.33706
23.3779,103.797,-178.21,2287.62,8.85444,-15.2958,195.735,0.356858,-0.65863,8.32988
23.4464,104.405,-179.26,2301.05,8.88513,-15.3412,196.314,0.447869,-0.66342,8.45202
23.5153,105.018,-180.318,2314.59,8.91334,-15.3866,196.889,0.409548,-0.65863,8.34185
23.5839,105.63,-181.376,2328.12,8.94128,-15.4347,197.468,0.407153,-0.701741,8.44484
23.6479,106.204,-182.365,2340.78,8.96796,-15.4758,198.001,0.416733,-0.641865,8.32748
23.7169,106.823,-183.434,2354.45,8.99537,-15.5219,198.581,0.397573,-0.668211,8.40173
23.7854,107.44,-184.498,2368.07,9.02112,-15.5677,199.152,0.376018,-0.668211,8.35143
23.8541,108.061,-185.57,2381.78,9.04978,-15.612,199.729,0.416733,-0.64426,8.38975
23.9178,108.638,-186.566,2394.52,9.07495,-15.6521,200.266,0.395178,-0.62989,8.42807
23.9866,109.263,-187.644,2408.31,9.10129,-15.6957,200.838,0.383203,-0.63468,8.31311
24.0554,109.89,-188.725,2422.15,9.12634,-15.7435,201.41,0.364043,-0.694556,8.31551
24.1241,110.518,-189.808,2436,9.15545,-15.7929,201.987,0.423918,-0.718506,8.40173
24.188,111.105,-190.82,2448.94,9.18456,-15.8371,202.522,0.455054,-0.692161,8.36101
24.2569,111.738,-191.912,2462.91,9.21145,-15.8833,203.095,0.390388,-0.670605,8.32748
24.3257,112.372,-193.006,2476.9,9.23435,-15.9273,203.667,0.332908,-0.63947,8.31311
24.3944,113.008,-194.102,2490.91,9.26182,-15.9691,204.239,0.399968,-0.608335,8.33227
24.458,113.598,-195.119,2503.92,9.28193,-16.0107,204.767,0.316143,-0.65384,8.28916
24.527,114.239,-196.225,2518.06,9.30985,-16.0551,205.348,0.404758,-0.64426,8.43047
24.5955,114.878,-197.328,2532.16,9.33728,-16.1029,205.917,0.399968,-0.696951,8.29635
24.6644,115.522,-198.438,2546.36,9.36482,-16.1489,206.499,0.399968,-0.668211,8.44484
